date,daily_return
2017-02-23,0.0
2017-02-24,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,-0.0019970039950057625
2017-05-15,0.014110657259561791
2017-05-16,0.0007323324789455566
2017-05-17,0.014270032930845129
2017-05-18,-0.011183261183261097
2017-05-19,-0.0014593214155417691
2017-05-22,0.0029229082937522756
2017-05-23,0.0003642987249544034
2017-05-24,0.00400582665695562
2017-05-25,0.0007254261878852647
2017-05-26,0.025371511417180307
2017-05-31,0.003888299752562563
2017-06-01,-0.005281690140844888
2017-06-02,0.004247787610619458
2017-06-05,-0.005992245329573646
2017-06-06,-0.0046099290780141165
2017-06-07,0.011043819023868928
2017-06-08,0.014799154334038016
2017-06-09,0.007010731249999975
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,0.0
2017-11-03,0.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-10,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,-0.0019970039950058314
2018-02-22,0.022529288074496702
2018-02-23,0.011163337250293804
2018-02-26,0.012783265543288933
2018-02-27,0.008605851979345899
2018-02-28,-0.028441410693970517
2018-03-01,-0.008196721311475388
2018-03-02,0.005903187721369429
2018-03-05,0.0014671361502348768
2018-03-06,0.004980955171403397
2018-03-07,0.008163265306122425
2018-03-08,-0.008097165991902812
2018-03-09,0.013411078717201283
2018-03-12,0.012370540851553459
2018-03-13,-0.0031258880363740056
2018-03-14,-0.014253135689851816
2018-03-15,-0.002891844997108208
2018-03-16,0.008700696055684614
2018-03-19,-0.011788384128809854
2018-03-20,0.0029095141111434926
2018-03-21,0.007832898172323967
2018-03-22,-0.008635578583765268
2018-03-23,-0.04529616724738682
2018-03-26,-0.011253041362530351
2018-03-27,0.01784066441095051
2018-03-28,-0.014203686914475664
2018-03-29,-0.008277130594727154
2018-03-30,0.017310664605873213
2018-04-02,-0.0018231540565176749
2018-04-03,-0.011567732115677463
2018-04-04,0.0024638127502310727
2018-04-09,-0.0046082949308755465
2018-04-10,0.001543209876543238
2018-04-11,0.0249614791987672
2018-04-12,-0.0018039687312085592
2018-04-13,-0.005120481927710892
2018-04-16,-0.017257039055404114
2018-04-17,-0.013247073321010534
2018-04-18,-0.010615048392132363
2018-04-19,-0.005048911328494746
2018-04-20,0.010149064383127085
2018-04-23,-0.016954474097331227
2018-04-24,0.009900990099009941
2018-04-25,0.017394054395951895
2018-04-26,-0.0006216972334473911
2018-04-27,-0.018973561430793137
2018-05-02,0.0012682308180089242
2018-05-03,-0.0044331855604811884
2018-05-04,0.009541984732824367
2018-05-07,-0.0031505986137365513
2018-05-08,0.0186472819216181
2018-05-09,0.013962147067949028
2018-05-10,0.0003059975520196796
2018-05-11,0.006729886815539886
2018-05-14,-0.00668489820723181
2018-05-15,0.010400734169470773
2018-05-16,-0.002119285498032086
2018-05-17,-0.004854368932038901
2018-05-18,-0.009146341463414576
2018-05-21,0.019384615384615445
2018-05-22,-0.002112888620585566
2018-05-23,-0.007864488808227587
2018-05-24,-0.012804878048780452
2018-05-25,-0.00957381099444105
2018-05-28,0.0
2018-05-29,0.0034299968818210565
2018-05-30,-0.021131137352392765
2018-05-31,-0.004444444444444432
2018-06-01,0.012117346938775543
2018-06-04,0.0034656584751101946
2018-06-05,0.00408163265306123
2018-06-06,0.009693558474046318
2018-06-07,0.0037163208423660796
2018-06-08,-0.007096575131132428
2018-06-11,-0.01833436917339964
2018-06-12,0.00854700854700854
2018-06-13,0.007532956685499104
2018-06-14,-0.01152647975077875
2018-06-15,-0.0015757957768673466
2018-06-19,-0.007891414141414286
2018-06-20,-0.037543748011453944
2018-06-21,0.004958677685950504
2018-06-22,-0.01381578947368417
2018-06-25,0.01267511674449624
2018-06-26,-0.031949934123847216
2018-06-27,0.0006805035726437187
